Order/Family	Genus/Species	Common Name	Wild	Capt.	M/F	Reference
Antilocapridae	Antilocapra americana	Pronghorn	10.0	 	x	[100]
 	Antilocapra americana	Pronghorn	 	11.8	x	[143]
 	Antilocapra americana	Pronghorn	10.0	12.0	x	[192]
Bovidae	Addax nasomaculatus	Addax	 	19.0	x	[100]
 	Addax nasomaculatus	Addax	 	25.3	x	[143]
 	Aepyceros melampus	Impala	15.0	 	x	[100]
 	Aepyceros melampus	Impala (+)	13.0	17.4	x	[134] [143] [155]
 	Alcelaphus buselaphus	Hartebeest	 	19.0	x	[100]
 	Alcelaphus buselaphus	Hartebeest	20.0	 	x	[181] [292]
 	Ammotragus lervia	Barbary sheep	10.0	20.0	x	[100]
 	Ammotragus lervia	Barbary sheep	 	20.9	x	[143]
 	Antidorcas marsupialis	Springbok	20.0	 	x	[100]
 	Antidorcas marsupialis	Springbok	 	19.0	x	[143]
 	Antilope cervicapra	Blackbuck	15.0	 	x	[100]
 	Antilope cervicapra	Blackbuck (+)	18.0	 	f	[251]
 	Bison bison	American bison	33.0	 	x	[21]
 	Bison bison	American bison	25.0	 	x	[100]
 	Bison bonasus	European bison	27.0	 	x	[100]
 	Bison spp.	Bison	20.0	40.0	x	[10] [101] [112] [167] [188] [200]
 	Bos gaurus	Seladang	 	26.2	x	[143]
 	Bos grunniens	Yak	25.0	 	f	[101]
 	Bos taurus	Domestic cattle (+)	 	20.0	x	[229]
 	Boselaphus tragocamelus	Nilgai	 	21.0	x	[100]
 	Boselaphus tragocamelus	Nilgai	 	21.7	x	[143]
 	Bubalus arnee	Wild water buffalo	25.0	 	x	[100]
 	Bubalus depressicornis	Lowland anoa	30.0	 	x	[100]
 	Bubalus mindorensis	Asian water buffalo	 	28.0	x	[101] [243]
 	Budorcas taxicolor	Takin	 	15.8	x	[143]
 	Capra aegagrus	Wild goat	12.0	 	x	[100]
 	Capra cylindricornis	East Caucasian tur	22.0	 	x	[229]
 	Capra falconeri	Markhor	13.0	 	x	[100]
 	Capra falconeri	Markhor	12.0	 	x	[229]
 	Capra hircus domesticus	Domestic goat	20.8	 	x	[21]
 	Capra ibex	Ibex	 	22.3	x	[143]
 	Capra ibex cylindricornis	East Caucasian tur	12.0	 	x	[100]
 	Capra ibex ibex	Alpine ibex	14.0	 	x	[100]
 	Capra ibex nubiana	Nubian ibex	 	17.0	x	[100]
 	Capra ibex sibirica	Asiatic ibex	16.0	 	x	[100]
 	Capra pyrenaica	Spanish ibex	16.0	 	x	[100]
 	Capricornis crispus	Serow (+)	 	10.0	x	[176] [306] [310] [335]
