organism_name,assembly_accession,refseq_category,excluded_from_refseq,bioproject,biosample,wgs_master,taxid,species_taxid,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,relation_to_type_material,asm_not_live_date,assembly_type,group,genome_size,genome_size_ungapped,gc_percent,replicon_count,scaffold_count,contig_count,annotation_provider,annotation_name,annotation_date,total_gene_count,protein_coding_gene_count,non_coding_gene_count,pubmed_id,Order/Family,Common Name,Wild,Capt.,M/F,Reference,total-length,spanned-gaps,unspanned-gaps,region-count,scaffold-count,scaffold-N50,scaffold-L50,scaffold-N75,scaffold-N90,contig-count,contig-N50,contig-L50,total-gap-length,molecule-count,top-level-count,component-count,gc-perc
Acinonyx jubatus,GCA_027475565.2,representative genome,na,PRJNA854353,SAMN29432198,JANJSO000000000.1,32536,32536,na,Ajub_Pintada_27869175,latest,Chromosome,Major,Full,2022-12-28,VMU_Ajub_asm_v1.0,University of Veterinary Medicine,GCF_027475565.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/475/565/GCA_027475565.2_VMU_Ajub_asm_v1.0,na,na,haploid,vertebrate_mammalian,,,41.5,19.0,195.0,195.0,University of Veterinary Medicine,Annotation submitted by University of Veterinary Medicine,,0.0,0.0,0.0,na,Felidae,Cheetah,,19.0,x,[57] [101] [159],2377434337.0,22.0,0.0,0.0,196.0,144444042.0,7.0,113113550.0,82195870.0,218.0,96827784.0,9.0,4400.0,20.0,196.0,196.0,41.5
Acinonyx jubatus,GCF_027475565.1,representative genome,na,PRJNA923316,SAMN29432198,JANJSO000000000.1,32536,32536,na,Ajub_Pintada_27869175,latest,Chromosome,Major,Full,2022-12-28,VMU_Ajub_asm_v1.0,University of Veterinary Medicine,GCA_027475565.2,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/475/565/GCF_027475565.1_VMU_Ajub_asm_v1.0,na,na,haploid,vertebrate_mammalian,,,41.5,19.0,195.0,195.0,NCBI RefSeq,GCF_027475565.1-RS_2023_04,,33469.0,19999.0,9680.0,na,Felidae,Cheetah,,19.0,x,[57] [101] [159],2377417351.0,22.0,0.0,0.0,195.0,144444042.0,7.0,113113550.0,82195870.0,217.0,96827784.0,9.0,4400.0,19.0,195.0,195.0,41.5
Acomys cahirinus,GCA_029890205.1,representative genome,na,PRJNA783778,SAMN23453783,JAJTCZ000000000.1,10068,10068,na,Evolution Canyon,latest,Chromosome,Major,Full,2023-05-01,ASM2989020v1,lanzhou university,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/890/205/GCA_029890205.1_ASM2989020v1,na,na,haploid,vertebrate_mammalian,,,43.0,19.0,34.0,34.0,lanzhou university,Annotation submitted by lanzhou university,,0.0,0.0,0.0,35320043,Muridae,Spiny mouse,,5.0,x,[101] [106] [158] [267],2270846306.0,89.0,0.0,0.0,34.0,128545730.0,8.0,121900037.0,87318440.0,123.0,55022522.0,18.0,8900.0,19.0,34.0,34.0,43.0
Addax nasomaculatus,GCA_019593525.1,representative genome,na,PRJNA742532,SAMN19946357,JAIEZW000000000.1,59515,59515,na,IZW607/10,latest,Scaffold,Major,Full,2021-08-13,ASM1959352v1,University of Potsdam,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/593/525/GCA_019593525.1_ASM1959352v1,na,na,haploid,vertebrate_mammalian,,,41.5,0.0,86923.0,86923.0,University of Potsdam,Annotation submitted by University of Potsdam,,0.0,0.0,0.0,na,Bovidae,Addax,,19.0,x,[100],2795170309.0,197572.0,0.0,0.0,86923.0,20757513.0,37.0,10109397.0,2270090.0,284495.0,17026.0,42125.0,350588786.0,0.0,86923.0,86923.0,41.5
Aepyceros melampus,GCA_006408695.1,representative genome,na,PRJNA438286,SAMN08714480,SJXQ00000000.1,9897,9897,na,IMP-100,latest,Scaffold,Major,Full,2019-06-24,IMP,Northwestern Polytechnical University,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/408/695/GCA_006408695.1_IMP,na,na,haploid,vertebrate_mammalian,,,42.0,0.0,24102.0,24102.0,Northwestern Polytechnical University,Annotation submitted by Northwestern Polytechnical University,,0.0,0.0,0.0,31221828, ,Impala,15.0,,x,[100],2631303056,57878,0,0,24102,344542,2451,204316,112117,81980,82459,9285,31894453,0,24102,24102,42
Ailuropoda melanoleuca,GCA_002007445.3,representative genome,na,PRJNA588422,SAMN04193337,LNAT00000000.2,9646,9646,na,Jingjing,latest,Chromosome,Minor,Full,2020-04-20,ASM200744v3,"Institute of Zoology, Chinese Academy of Sciences",GCF_002007445.2,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/007/445/GCA_002007445.3_ASM200744v3,na,na,haploid,vertebrate_mammalian,,,41.5,21.0,73513.0,73513.0,"Institute of Zoology, Chinese Academy of Sciences","Annotation submitted by Institute of Zoology, Chinese Academy of Sciences",,0.0,0.0,0.0,28096377;31810476,Ailuropodidae,Giant panda,26.0,,x,[21],2440260518.0,49306.0,0.0,0.0,73513.0,129245720.0,8.0,92459488.0,38124791.0,122819.0,127687.0,5332.0,46690237.0,21.0,73513.0,73513.0,41.5
Ailuropoda melanoleuca,GCF_002007445.2,representative genome,na,PRJNA633539,SAMN04193337,LNAT00000000.2,9646,9646,na,Jingjing,latest,Chromosome,Minor,Full,2020-04-20,ASM200744v3,"Institute of Zoology, Chinese Academy of Sciences",GCA_002007445.3,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/007/445/GCF_002007445.2_ASM200744v3,na,na,haploid,vertebrate_mammalian,,,41.5,21.0,73513.0,73513.0,NCBI RefSeq,NCBI Ailuropoda melanoleuca Annotation Release 103,,31335.0,20837.0,6778.0,31810476;17499457;28096377,Ailuropodidae,Giant panda,26.0,,x,[21],2440277323.0,49306.0,0.0,0.0,73514.0,129245720.0,8.0,92459488.0,38124791.0,122820.0,127687.0,5332.0,46690237.0,22.0,73514.0,73514.0,41.5
Alcelaphus buselaphus,GCA_006408545.1,representative genome,na,PRJNA438286,SAMN08714483,SJXN00000000.1,59517,59517,na,HBT-best,latest,Scaffold,Major,Full,2019-06-24,HBT,Northwestern Polytechnical University,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/408/545/GCA_006408545.1_HBT,na,na,haploid,vertebrate_mammalian,,885637233.0,40.5,0.0,539659.0,539659.0,Northwestern Polytechnical University,Annotation submitted by Northwestern Polytechnical University,,0.0,0.0,0.0,31221828, ,Hartebeest,,19.0,x,[100],3882338275.0,702289.0,0.0,0.0,539659.0,12034.0,101452.0,7301.0,4495.0,1241948.0,889.0,352447.0,2996701042.0,0.0,539659.0,539659.0,40.5
Alces alces,GCA_015832495.2,representative genome,na,PRJNA668262,SAMN16402102,JADEYB000000000.2,9852,9852,na,AALL_1980,latest,Scaffold,Major,Full,2023-05-22,NRM_Aalces_2_0.fsa,Swedish Museum of Natural History,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/832/495/GCA_015832495.2_NRM_Aalces_2_0.fsa,na,na,haploid,vertebrate_mammalian,,,41.5,0.0,5939.0,5939.0,Swedish Museum of Natural History,Annotation submitted by Swedish Museum of Natural History,,0.0,0.0,0.0,33267779,Cervidae,Moose (+),16.0,,x,[100],2487828707.0,67180.0,0.0,0.0,5939.0,76655859.0,13.0,59261799.0,49254799.0,73119.0,69919.0,9840.0,112266556.0,0.0,5939.0,5939.0,41.5
Allenopithecus nigroviridis,GCA_963574245.1,representative genome,na,PRJEB67744,SAMEA112482821,CAUYOP000000000.1,54135,54135,na,na,latest,Scaffold,Major,Full,2023-11-03,PGDP_AllNig,IBE(CSIC-UNIVERSITAT POMPEU FABRA),na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/574/245/GCA_963574245.1_PGDP_AllNig,na,na,haploid,vertebrate_mammalian,,,41.0,0.0,137434.0,137434.0,IBE(CSIC-UNIVERSITAT POMPEU FABRA),Annotation submitted by IBE(CSIC-UNIVERSITAT POMPEU FABRA),,0.0,0.0,0.0,na,Cercopithecidae,Allen’s monkey (+),23.0,,x,[100],2754543093,169,0,0,137434,45084,17805,22873,10630,137547,45079,17807,8580,0,137434,137434,41
