organism_name,assembly_accession,refseq_category,excluded_from_refseq,bioproject,biosample,wgs_master,taxid,species_taxid,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,relation_to_type_material,asm_not_live_date,assembly_type,group,genome_size,genome_size_ungapped,gc_percent,replicon_count,scaffold_count,contig_count,annotation_provider,annotation_name,annotation_date,total_gene_count,protein_coding_gene_count,non_coding_gene_count,pubmed_id,Order/Family,Common Name,Wild,Capt.,M/F,Reference
Acinonyx jubatus,GCA_027475565.2,representative genome,na,PRJNA854353,SAMN29432198,JANJSO000000000.1,32536,32536,na,Ajub_Pintada_27869175,latest,Chromosome,Major,Full,2022-12-28,VMU_Ajub_asm_v1.0,University of Veterinary Medicine,GCF_027475565.1,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/475/565/GCA_027475565.2_VMU_Ajub_asm_v1.0,na,na,haploid,vertebrate_mammalian,,,41.5,19.0,195.0,195.0,University of Veterinary Medicine,Annotation submitted by University of Veterinary Medicine,,0.0,0.0,0.0,na,Felidae,Cheetah,,19.0,x,[57] [101] [159]
Acomys cahirinus,GCA_029890205.1,representative genome,na,PRJNA783778,SAMN23453783,JAJTCZ000000000.1,10068,10068,na,Evolution Canyon,latest,Chromosome,Major,Full,2023-05-01,ASM2989020v1,lanzhou university,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/890/205/GCA_029890205.1_ASM2989020v1,na,na,haploid,vertebrate_mammalian,,,43.0,19.0,34.0,34.0,lanzhou university,Annotation submitted by lanzhou university,,0.0,0.0,0.0,35320043,Muridae,Spiny mouse,,5.0,x,[101] [106] [158] [267]
Addax nasomaculatus,GCA_019593525.1,representative genome,na,PRJNA742532,SAMN19946357,JAIEZW000000000.1,59515,59515,na,IZW607/10,latest,Scaffold,Major,Full,2021-08-13,ASM1959352v1,University of Potsdam,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/593/525/GCA_019593525.1_ASM1959352v1,na,na,haploid,vertebrate_mammalian,,,41.5,0.0,86923.0,86923.0,University of Potsdam,Annotation submitted by University of Potsdam,,0.0,0.0,0.0,na,Bovidae,Addax,,19.0,x,[100]
Aepyceros melampus,GCA_006408695.1,representative genome,na,PRJNA438286,SAMN08714480,SJXQ00000000.1,9897,9897,na,IMP-100,latest,Scaffold,Major,Full,2019-06-24,IMP,Northwestern Polytechnical University,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/408/695/GCA_006408695.1_IMP,na,na,haploid,vertebrate_mammalian,,,42.0,0.0,24102.0,24102.0,Northwestern Polytechnical University,Annotation submitted by Northwestern Polytechnical University,,0.0,0.0,0.0,31221828, ,Impala,15.0,,x,[100]
Ailuropoda melanoleuca,GCA_002007445.3,representative genome,na,PRJNA588422,SAMN04193337,LNAT00000000.2,9646,9646,na,Jingjing,latest,Chromosome,Minor,Full,2020-04-20,ASM200744v3,"Institute of Zoology, Chinese Academy of Sciences",GCF_002007445.2,different,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/007/445/GCA_002007445.3_ASM200744v3,na,na,haploid,vertebrate_mammalian,,,41.5,21.0,73513.0,73513.0,"Institute of Zoology, Chinese Academy of Sciences","Annotation submitted by Institute of Zoology, Chinese Academy of Sciences",,0.0,0.0,0.0,28096377;31810476,Ailuropodidae,Giant panda,26.0,,x,[21]
Alcelaphus buselaphus,GCA_006408545.1,representative genome,na,PRJNA438286,SAMN08714483,SJXN00000000.1,59517,59517,na,HBT-best,latest,Scaffold,Major,Full,2019-06-24,HBT,Northwestern Polytechnical University,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/408/545/GCA_006408545.1_HBT,na,na,haploid,vertebrate_mammalian,,885637233.0,40.5,0.0,539659.0,539659.0,Northwestern Polytechnical University,Annotation submitted by Northwestern Polytechnical University,,0.0,0.0,0.0,31221828, ,Hartebeest,,19.0,x,[100]
Alces alces,GCA_015832495.2,representative genome,na,PRJNA668262,SAMN16402102,JADEYB000000000.2,9852,9852,na,AALL_1980,latest,Scaffold,Major,Full,2023-05-22,NRM_Aalces_2_0.fsa,Swedish Museum of Natural History,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/832/495/GCA_015832495.2_NRM_Aalces_2_0.fsa,na,na,haploid,vertebrate_mammalian,,,41.5,0.0,5939.0,5939.0,Swedish Museum of Natural History,Annotation submitted by Swedish Museum of Natural History,,0.0,0.0,0.0,33267779,Cervidae,Moose (+),16.0,,x,[100]
Allenopithecus nigroviridis,GCA_963574245.1,representative genome,na,PRJEB67744,SAMEA112482821,CAUYOP000000000.1,54135,54135,na,na,latest,Scaffold,Major,Full,2023-11-03,PGDP_AllNig,IBE(CSIC-UNIVERSITAT POMPEU FABRA),na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/574/245/GCA_963574245.1_PGDP_AllNig,na,na,haploid,vertebrate_mammalian,,,41.0,0.0,137434.0,137434.0,IBE(CSIC-UNIVERSITAT POMPEU FABRA),Annotation submitted by IBE(CSIC-UNIVERSITAT POMPEU FABRA),,0.0,0.0,0.0,na,Cercopithecidae,Allen’s monkey (+),23.0,,x,[100]
Alouatta caraya,GCA_963575295.1,representative genome,na,PRJEB67744,SAMEA14464362,CAUYUD000000000.1,9502,9502,na,na,latest,Scaffold,Major,Full,2023-11-02,PGDP_AloCar,IBE(CSIC-UNIVERSITAT POMPEU FABRA),na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/575/295/GCA_963575295.1_PGDP_AloCar,na,na,haploid,vertebrate_mammalian,,,41.0,0.0,182811.0,182811.0,IBE(CSIC-UNIVERSITAT POMPEU FABRA),Annotation submitted by IBE(CSIC-UNIVERSITAT POMPEU FABRA),,0.0,0.0,0.0,na,Cebidae,Black and gold howler,,20.3, ,[104]
Alouatta palliata,GCA_004027835.1,representative genome,na,PRJNA399372,SAMN07678036,PVKV000000000.1,30589,30589,na,BS02,latest,Scaffold,Major,Full,2019-01-16,AloPal_v1_BIUU,Broad Institute,na,na,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/027/835/GCA_004027835.1_AloPal_v1_BIUU,na,na,haploid,vertebrate_mammalian,,,41.0,0.0,1136565.0,1136565.0,Broad Institute,Annotation submitted by Broad Institute,,0.0,0.0,0.0,na, ,Mantled howler (+),20.0,,x,[38] [81] [100] [269]
